iter	Passed	Remaining
469	697	786
470	698	784
471	699	782
472	700	780
473	701	778
474	702	776
475	703	774
476	704	772
477	705	770
478	706	768
479	707	766
480	708	764
481	709	762
482	710	760
483	711	758
484	713	757
485	714	755
486	715	753
487	716	751
488	717	749
489	718	747
490	719	746
491	720	744
492	722	742
493	723	740
494	724	738
495	725	737
496	726	735
497	727	733
498	728	731
499	729	729
500	730	727
501	732	726
502	733	724
503	734	722
504	734	720
505	735	718
506	737	716
507	738	715
508	739	713
509	740	711
510	741	709
511	742	707
512	743	706
513	744	704
514	745	702
515	746	700
516	747	698
517	748	696
518	749	695
519	751	693
520	752	691
521	753	689
522	753	687
523	754	685
524	755	683
525	757	682
526	758	680
527	759	678
528	760	676
529	761	674
530	762	673
531	763	671
532	764	669
533	765	667
534	766	666
535	767	664
536	768	662
537	769	660
538	770	659
539	771	657
540	772	655
541	773	653
542	774	652
543	775	650
544	776	648
545	777	646
546	778	644
547	779	643
548	780	641
549	781	639
550	782	638
551	783	636
552	785	634
553	786	632
554	787	631
555	788	629
556	789	627
557	790	625
558	791	624
559	792	622
560	793	620
561	794	618
562	795	617
563	796	615
564	797	613
565	798	611
566	799	610
567	800	608
568	801	606
569	802	605
570	803	603
571	804	601
572	805	600
573	806	598
574	807	596
575	808	595
576	809	593
577	810	591
578	811	590
579	812	588
580	813	586
581	814	585
582	815	583
583	816	581
584	817	580
585	818	578
586	819	576
587	820	575
588	821	573
589	822	571
590	824	570
591	825	568
592	826	566
593	826	565
594	827	563
595	829	561
596	830	560
597	830	558
598	831	556
599	832	555
600	833	553
601	835	552
602	835	550
603	836	548
604	837	547
605	838	545
606	839	543
607	840	542
608	841	540
609	842	538
610	843	537
611	844	535
612	845	533
613	846	532
614	847	530
615	848	529
616	849	527
617	850	525
618	851	524
619	852	522
620	853	521
621	854	519
622	855	517
623	856	516
624	857	514
625	858	512
626	859	511
627	860	509
628	861	508
629	862	506
630	863	504
631	864	503
632	865	501
633	866	500
634	867	498
635	868	497
636	869	495
637	870	493
638	871	492
639	872	490
640	873	489
641	874	487
642	875	486
643	876	484
644	877	482
645	878	481
646	879	479
647	880	478
648	881	476
649	882	475
650	883	473
651	884	472
652	885	470
653	886	468
654	887	467
655	888	465
656	889	464
657	890	462
658	891	461
659	892	459
660	893	458
661	894	456
662	895	455
663	897	454
664	899	452
665	900	451
666	901	449
667	901	448
668	904	447
669	905	445
670	906	444
671	907	442
672	908	441
673	910	440
674	911	438
675	912	437
676	913	435
677	914	434
678	915	432
679	916	431
680	917	429
681	918	428
682	919	426
683	920	425
684	922	424
685	923	422
686	924	421
687	925	419
688	926	418
689	927	416
690	928	415
691	929	413
692	931	412
693	932	411
694	933	409
695	934	408
696	935	406
697	936	405
698	937	403
699	938	402
700	939	400
701	941	399
702	942	398
703	943	396
704	944	395
705	945	393
706	946	392
707	948	391
708	949	389
709	950	388
710	951	386
711	952	385
712	953	383
713	954	382
714	955	381
715	956	379
716	957	378
717	958	376
718	959	375
719	960	373
720	961	372
721	962	370
722	963	369
723	965	367
724	966	366
725	967	364
726	968	363
727	969	362
728	970	360
729	971	359
730	972	357
731	973	356
732	974	354
733	974	353
734	975	351
735	976	350
736	978	349
737	979	347
738	980	346
739	982	345
740	983	343
741	984	342
742	985	340
743	986	339
744	987	338
745	988	336
746	989	335
747	991	333
748	992	332
749	993	331
750	994	329
751	995	328
752	996	327
753	997	325
754	998	324
755	999	322
756	1000	321
757	1001	319
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1007	312
763	1008	311
764	1009	310
765	1010	308
766	1011	307
767	1012	305
768	1013	304
769	1014	303
770	1015	301
771	1016	300
772	1018	298
773	1019	297
774	1019	296
775	1021	294
776	1022	293
777	1023	291
778	1024	290
779	1025	289
780	1026	287
781	1028	286
782	1029	285
783	1030	283
784	1031	282
785	1032	281
786	1033	279
787	1034	278
788	1035	277
789	1036	275
790	1037	274
791	1038	272
792	1039	271
793	1040	270
794	1041	268
795	1042	267
796	1043	265
797	1044	264
798	1046	263
799	1047	261
800	1048	260
801	1049	259
802	1050	257
803	1051	256
804	1052	254
805	1053	253
806	1054	252
807	1055	250
808	1056	249
809	1057	247
810	1058	246
811	1059	245
812	1060	243
813	1061	242
814	1062	241
815	1063	239
816	1064	238
817	1065	237
818	1066	235
819	1067	234
820	1068	232
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1076	222
829	1077	220
830	1078	219
831	1079	218
832	1080	216
833	1081	215
834	1082	213
835	1083	212
836	1085	211
837	1086	209
838	1087	208
839	1087	207
840	1089	205
841	1090	204
842	1091	203
843	1092	201
844	1093	200
845	1094	199
846	1095	197
847	1096	196
848	1097	195
849	1098	193
850	1099	192
851	1100	191
852	1101	189
853	1102	188
854	1103	187
855	1104	185
856	1105	184
857	1106	183
858	1107	181
859	1108	180
860	1109	179
861	1110	177
862	1111	176
863	1112	175
864	1113	173
865	1114	172
866	1115	171
867	1116	169
868	1117	168
869	1118	167
870	1120	165
871	1122	164
872	1123	163
873	1124	162
874	1125	160
875	1126	159
876	1127	158
877	1128	156
878	1129	155
879	1130	154
880	1131	152
881	1132	151
882	1133	150
883	1134	148
884	1135	147
885	1136	146
886	1137	144
887	1138	143
888	1139	142
889	1140	141
890	1141	139
891	1142	138
892	1144	137
893	1145	135
894	1146	134
895	1147	133
896	1148	131
897	1149	130
898	1150	129
899	1151	127
900	1152	126
901	1153	125
902	1154	124
903	1155	122
904	1156	121
905	1157	120
906	1159	118
907	1160	117
908	1161	116
909	1162	114
910	1163	113
911	1164	112
912	1165	111
913	1166	109
914	1167	108
915	1168	107
916	1169	105
917	1170	104
918	1171	103
919	1172	101
920	1173	100
921	1174	99
922	1175	98
923	1176	96
924	1177	95
925	1178	94
926	1179	92
927	1180	91
928	1181	90
929	1182	89
930	1183	87
931	1184	86
932	1186	85
933	1186	83
934	1187	82
935	1189	81
936	1190	80
937	1191	78
938	1192	77
939	1193	76
940	1194	74
941	1195	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1201	67
947	1202	65
948	1203	64
949	1204	63
950	1205	62
951	1206	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1216	50
960	1217	49
961	1220	48
962	1222	46
963	1223	45
964	1224	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1232	38
970	1234	36
971	1235	35
972	1236	34
973	1237	33
974	1238	31
975	1240	30
976	1241	29
977	1242	27
978	1243	26
979	1244	25
980	1246	24
981	1247	22
982	1248	21
983	1249	20
984	1250	19
985	1251	17
986	1252	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1258	10
992	1260	8
993	1261	7
994	1262	6
995	1263	5
996	1265	3
997	1266	2
998	1267	1
999	1268	0
